,dates,desktop,mobile,both,total_users
723,2011-07-30,3000,5100,0,19
724,2011-11-11,5100,7700,400,25
725,2010-12-26,3000,7200,0,19
726,2021-09-09,8100,7700,0,29
727,2015-10-01,2600,3900,600,16
728,2019-08-04,7000,9900,0,30
729,2014-04-02,4500,5500,0,19
730,2017-05-23,5100,4800,700,22
731,2021-08-02,6700,7200,1100,24
732,2021-02-28,7500,3700,400,21
733,2015-05-13,5800,4800,0,17
734,2012-07-21,5900,7700,0,26
735,2013-11-17,6900,3800,4100,19
736,2011-07-01,6400,5200,600,24
737,2010-07-03,5300,3900,0,19
738,2020-06-24,4500,3600,1200,19
739,2011-01-09,7700,5500,0,23
740,2022-10-05,6000,6400,1300,25
741,2013-04-15,6700,9300,2400,25
742,2018-01-01,7800,8500,700,27
743,2012-11-30,3800,5300,500,20
744,2014-09-29,2600,3200,0,13
745,2014-11-22,4100,10100,1100,25
746,2015-02-04,5300,9200,0,26
747,2015-02-15,4700,5800,900,20
748,2010-02-21,9600,3200,2600,21
749,2011-03-29,4400,5900,1100,21
750,2022-07-14,1400,7600,0,17
751,2017-06-16,3500,7100,0,19
752,2014-05-31,7200,3800,0,21
753,2016-09-05,4000,8000,1600,20
754,2012-01-12,3900,4800,0,16
755,2020-08-06,1900,5300,0,12
756,2013-07-25,5300,8600,1300,26
757,2013-11-07,6900,7300,0,26
758,2015-09-12,4300,6800,0,21
759,2020-06-22,4700,8200,2600,21
760,2022-02-09,8000,5700,0,24
761,2019-02-14,7900,6400,2200,26
762,2022-04-18,5200,6600,1000,22
763,2017-01-07,6400,4100,1900,17
764,2012-10-30,3100,2000,1000,10
765,2010-11-27,4900,11800,1000,29
766,2016-11-09,4400,4700,2500,17
767,2016-11-27,5000,7100,0,21
768,2019-01-31,8600,5400,1300,27
769,2015-11-15,5000,2300,0,16
770,2016-06-27,4300,5000,0,17
771,2015-09-27,6100,5200,1500,22
772,2016-04-11,1900,6200,0,13
773,2013-05-12,6400,5300,2500,17
774,2017-09-13,4400,7100,0,20
775,2013-07-17,3900,5600,0,17
776,2016-10-27,6700,7600,0,27
777,2016-03-24,6100,10600,2200,29
778,2016-10-05,2800,9500,0,22
779,2011-09-04,5000,6900,0,20
780,2015-03-17,4000,5500,1300,16
781,2014-07-03,9000,5000,0,23
782,2014-03-01,8200,5500,0,23
783,2017-02-18,6700,3400,700,17
784,2014-11-15,8500,5600,0,25
785,2019-02-28,2200,4200,0,15
786,2010-05-19,7200,7000,600,26
787,2021-06-28,3000,8900,500,22
788,2016-06-30,2200,6900,1500,21
789,2019-11-21,6300,5900,1600,21
790,2011-03-20,4500,5400,0,19
791,2015-10-21,3300,9600,900,28
792,2015-12-08,4600,5700,0,21
793,2019-11-28,3800,6300,2300,17
794,2017-10-09,4100,3900,0,18
795,2020-04-05,7100,3500,0,21
796,2011-09-05,7700,5300,0,25
797,2016-05-13,5500,4900,1500,21
798,2014-05-09,5800,6400,500,22
799,2012-08-10,5000,5400,0,20
800,2016-04-22,5900,4100,700,20
801,2010-08-04,2600,9500,500,22
802,2017-07-02,5100,5200,0,19
803,2010-05-15,6700,8800,2500,23
804,2021-08-11,6500,6200,0,25
805,2019-02-16,5000,6600,0,22
806,2013-03-27,7500,6000,0,24
807,2019-07-14,3100,3300,0,14
808,2015-10-03,7000,4100,0,22
809,2015-12-02,2800,7500,0,20
810,2020-05-05,8600,5700,700,26
811,2019-11-15,7100,7100,1100,25
812,2015-04-09,4800,5800,0,19
813,2019-01-23,3300,8900,300,22
814,2021-05-20,7800,6300,1500,23
815,2017-12-20,7800,5300,600,21
816,2011-08-12,4600,3700,0,15
817,2022-08-18,3500,6200,0,21
818,2011-02-04,4700,4200,900,19
819,2020-11-29,11000,8500,1000,35
820,2012-10-24,8800,4200,1000,22
821,2011-08-30,6200,7500,0,25
822,2022-10-21,7000,2800,600,18
823,2015-05-15,4500,4000,0,16
824,2010-01-28,4900,5800,0,18
825,2012-03-07,3800,4800,1200,19
826,2011-02-10,6300,3500,1200,16
827,2022-11-28,5600,3500,0,17
828,2012-02-19,4700,6800,1600,21
829,2020-12-01,2400,8500,0,22
830,2019-10-09,6200,3700,1700,20
831,2020-12-03,5400,4500,2100,18
832,2020-12-18,6400,6500,1300,23
833,2016-03-10,10300,5800,0,23
834,2019-04-01,3900,6800,1500,20
835,2013-05-01,5400,3800,0,19
836,2015-04-19,4500,4000,0,18
837,2019-03-29,5600,4100,800,21
838,2015-06-27,4600,5500,1100,18
839,2017-01-11,6100,4600,0,24
840,2012-11-04,4300,6000,0,19
841,2016-06-03,5800,5500,1400,22
842,2013-12-28,8500,4000,0,24
843,2018-10-26,7000,5300,600,24
844,2022-05-19,2400,4900,0,17
845,2022-11-10,8300,6000,900,22
846,2021-10-23,4500,5200,500,23
847,2019-02-06,6700,4300,0,21
848,2020-07-01,4300,6900,1100,20
849,2019-01-20,6000,5800,0,22
850,2010-02-05,6800,5200,0,23
851,2017-02-20,6200,6500,900,28
852,2021-05-11,3000,8200,500,19
853,2017-12-10,6900,6600,0,26
854,2021-01-09,4200,5500,500,20
855,2010-12-25,3200,8200,600,24
856,2012-09-16,6300,2400,0,16
857,2017-09-15,4500,8000,0,23
858,2020-03-10,5400,5500,0,21
859,2012-05-01,4400,3100,0,16
860,2014-11-30,8100,6900,1600,22
861,2017-03-18,4400,5700,0,18
862,2017-11-09,5500,4900,0,23
863,2016-05-08,1000,2400,0,10
864,2015-10-25,3500,8700,0,23
865,2019-08-17,5000,5100,0,21
866,2022-09-28,2900,3900,0,14
867,2011-02-26,7900,6800,0,29
868,2015-08-03,5400,3000,0,16
869,2015-06-17,4500,3700,1600,16
870,2013-10-21,1400,7200,0,16
871,2021-01-12,9100,7800,700,24
872,2014-09-07,4200,4200,0,17
873,2010-12-23,7000,7200,2200,26
874,2013-08-02,3900,5300,1000,21
875,2012-03-14,6900,5800,0,24
876,2020-02-16,9400,7700,0,31
877,2019-07-17,4000,4900,0,17
878,2019-10-06,4500,4700,0,19
879,2010-09-29,4600,7700,0,20
880,2021-10-19,2500,6100,0,15
881,2015-11-05,6800,5000,0,22
882,2019-04-24,6600,5600,800,25
883,2016-08-28,2200,4000,900,15
884,2012-06-03,7800,4400,1000,20
885,2022-10-24,7700,8100,1300,27
886,2022-11-15,4700,7700,2100,23
887,2017-04-26,8900,8500,3000,28
888,2016-02-22,5100,4400,0,20
889,2020-03-17,2300,9000,0,20
890,2014-05-15,7500,5800,0,25
891,2018-09-05,6900,5900,0,23
892,2011-03-04,3200,4200,0,14
893,2016-02-17,7300,7800,1700,25
894,2014-07-23,4800,5500,0,22
895,2017-05-09,6300,7000,0,30
896,2022-11-08,5500,6400,800,21
897,2010-07-14,6500,4400,2900,20
898,2017-02-07,6100,6500,0,25
899,2020-09-21,3600,3800,0,17
900,2015-09-20,3500,3000,1000,12
901,2014-12-09,6400,4500,1100,21
902,2020-12-20,10700,6300,800,29
903,2016-04-15,5000,4600,0,19
904,2017-12-18,7000,4500,0,23
905,2011-05-27,6500,5500,0,22
906,2011-01-24,3500,5200,0,20
907,2015-02-13,2000,8500,0,21
908,2018-10-28,5200,7900,0,27
909,2016-07-24,7600,3500,0,25
910,2015-04-14,3900,6800,0,22
911,2010-08-14,6500,5400,0,25
912,2021-08-12,4800,4400,0,20
913,2021-02-03,7600,5300,1500,27
914,2021-08-23,4900,2700,0,16
915,2020-09-23,4500,7700,0,22
916,2013-08-05,7700,6700,500,28
917,2010-03-02,7700,7300,0,26
918,2012-07-20,6000,6000,2700,19
919,2012-01-31,6700,1700,0,15
920,2018-04-12,4600,4400,0,19
921,2021-06-06,6700,4900,0,19
922,2019-01-05,4700,7700,0,21
923,2018-11-24,2300,5800,0,17
924,2016-05-23,5600,8800,0,29
925,2015-01-12,9300,5700,700,27
926,2013-11-15,4900,6500,0,20
927,2013-04-02,4900,5800,0,24
928,2016-01-13,5700,6500,900,29
929,2017-07-04,5800,6100,0,25
930,2018-06-10,5200,5700,0,19
931,2022-11-03,5200,2800,1000,16
932,2016-06-08,5800,3000,0,21
933,2015-07-26,5200,2700,0,15
934,2022-07-10,5800,7400,2300,23
935,2012-10-06,5800,4300,0,23
936,2020-10-06,5000,3000,0,15
937,2010-05-12,4800,6100,1400,17
938,2016-09-18,7300,6800,0,24
939,2012-10-20,4400,8000,0,21
940,2011-12-10,7400,6500,500,27
941,2011-12-23,5000,7700,0,25
942,2017-03-26,6200,7100,1400,22
943,2019-09-16,7100,4200,1300,21
944,2016-05-16,5200,6000,500,23
945,2016-08-10,3700,5500,0,18
946,2011-09-19,6500,7900,0,22
947,2011-04-18,7300,4600,0,23
948,2014-11-25,3300,3700,1500,15
949,2017-05-24,4200,3000,0,17
950,2022-10-25,5000,1700,700,14
951,2011-06-17,4000,4000,0,15
952,2012-11-09,10600,4500,2500,26
953,2013-03-01,8200,5800,0,32
954,2022-07-28,6800,3600,700,21
955,2021-08-10,6100,3800,0,23
956,2012-07-14,4000,4800,1200,20
957,2021-05-23,3000,5100,0,17
958,2019-10-25,4700,7200,0,26
959,2013-09-01,4600,6800,0,21
960,2013-05-28,3200,3500,0,17
961,2020-10-22,3900,5200,0,19
962,2017-12-11,7000,3900,0,19
963,2011-05-02,4500,4600,0,22
964,2010-12-01,6700,5400,0,22
965,2022-01-05,5400,6600,1800,23
966,2010-01-06,3200,6400,0,22
967,2021-07-02,10000,5600,1400,28
968,2012-06-25,3900,6900,0,20
969,2010-08-16,4100,4400,0,15
970,2022-07-27,4900,6100,1300,22
971,2021-01-18,5500,4600,0,20
972,2020-02-17,3900,11400,0,24
973,2015-09-17,4200,5600,0,20
974,2021-02-08,4200,5000,900,21
975,2019-06-25,4600,5700,0,18
976,2016-12-11,5400,2000,0,17
977,2011-06-26,4400,5600,0,22
978,2014-09-08,6400,5400,0,27
979,2015-07-17,9000,4200,1300,22
980,2011-06-16,3400,4900,700,16
981,2013-02-13,5600,6300,0,26
982,2018-09-08,7200,4500,1700,23
983,2014-03-09,6600,3900,0,20
984,2014-12-14,6500,5500,1400,23
985,2022-09-14,6200,3200,1400,21
986,2012-07-08,7300,5900,3700,23
987,2020-10-21,6200,7000,600,23
988,2015-03-16,4700,5000,900,20
989,2016-11-15,6900,6400,0,27
990,2021-11-06,6700,3800,0,21
991,2016-08-05,5100,6300,0,21
992,2018-10-15,9900,6200,0,28
993,2017-05-27,4300,4400,0,15
994,2022-03-24,3000,5900,0,18
995,2011-10-20,6500,7300,1500,23
996,2020-03-28,4600,9200,1400,22
997,2020-12-05,3800,7800,0,19
998,2010-06-12,6900,4100,0,19
999,2018-12-26,8900,4100,0,25
1000,2013-05-30,6800,5400,0,23
1001,2011-04-23,6400,6400,1600,22
1002,2021-12-10,6100,5800,0,17
1003,2021-09-17,4300,4200,1900,18
1004,2020-12-13,3600,7200,0,20
1005,2020-03-21,6800,4900,2100,20
1006,2015-03-05,4400,7400,0,24
1007,2015-09-13,6800,8500,2600,25
1008,2015-10-17,3200,5400,0,18
1009,2013-06-04,2300,8900,0,21
1010,2012-04-13,6500,6600,0,22
1011,2011-06-12,6000,3700,1200,19
1012,2012-11-11,4000,7000,500,21
1013,2012-12-11,6000,5700,1400,22
1014,2020-11-01,3400,3800,0,13
1015,2022-03-13,6400,4300,0,21
1016,2011-01-27,4600,3900,0,21
1017,2022-01-17,5000,4500,800,17
1018,2015-10-04,4600,5700,0,18
1019,2010-02-18,2700,1200,0,8
1020,2010-07-25,8200,7200,0,27
1021,2020-03-29,4400,5700,1900,19
1022,2020-05-28,8700,6500,0,27
1023,2018-03-09,5100,4300,1400,13
1024,2015-02-24,5300,2600,0,16
1025,2011-05-18,8000,3300,0,23
1026,2019-09-20,4900,4700,1400,20
1027,2017-07-19,5200,5700,800,24
1028,2021-10-02,3900,4300,800,16
1029,2012-08-22,7100,4000,1300,22
1030,2010-06-23,4600,7200,1800,24
1031,2017-06-04,2600,6000,0,15
1032,2020-02-07,3800,5700,2400,15
1033,2022-08-15,6200,6900,0,22
1034,2013-12-18,5700,6500,0,21
1035,2012-11-15,4500,6300,0,19
1036,2011-03-11,3000,5400,1000,17
1037,2013-12-19,4800,8000,1200,22
1038,2010-06-06,7800,4100,0,24
1039,2013-03-31,7400,6000,0,26
1040,2018-12-20,5800,6200,1100,23
1041,2014-12-11,8500,5100,0,26
1042,2019-01-24,5600,4000,0,22
1043,2012-12-01,3700,8100,0,21
1044,2013-03-07,8100,7900,0,33
1045,2010-02-12,5500,5000,800,21
1046,2014-07-06,4800,3100,0,17
1047,2019-02-09,2000,3300,0,14
1048,2014-05-25,4300,4700,0,19
1049,2018-08-05,3400,6700,1400,15
1050,2014-02-09,6700,4300,300,22
1051,2013-09-03,3900,7500,0,19
1052,2015-09-09,3800,5000,400,17
1053,2015-04-04,6800,5200,0,26
1054,2020-08-13,3500,5600,1000,19
1055,2012-03-18,7300,2600,0,19
1056,2021-03-06,6500,3800,1500,21
1057,2019-08-12,4000,2700,0,14
1058,2011-03-10,7800,4700,0,23
1059,2019-10-26,2800,5300,0,20
1060,2021-05-16,4700,4900,400,23
1061,2020-04-18,2900,5900,0,16
1062,2012-08-12,3400,5100,0,13
1063,2020-12-14,5700,6000,1600,20
1064,2010-11-14,3400,4600,1300,14
1065,2022-06-07,7400,9000,1100,29
1066,2010-02-14,1000,4800,0,12
1067,2014-10-19,4100,5700,1000,18
1068,2012-05-17,4800,4500,1700,16
1069,2012-11-23,3400,3800,0,18
1070,2013-06-28,4700,7200,800,23
1071,2016-09-13,5300,5100,0,18
1072,2016-11-12,3000,600,0,8
1073,2013-12-21,5900,3700,1200,18
1074,2014-06-04,5100,3800,900,15
1075,2012-02-18,8100,2300,0,17
1076,2018-07-13,4300,11000,800,29
1077,2010-10-06,4300,6000,700,20
1078,2015-10-09,8400,5700,300,23
1079,2022-08-17,10100,4600,0,25
1080,2019-10-02,9100,8600,1500,31
1081,2020-11-03,10600,4300,800,27
1082,2012-06-28,3900,5000,0,16
1083,2015-02-06,7300,4100,600,22
1084,2022-02-27,4700,3400,600,17
1085,2016-06-04,3600,4800,0,16
1086,2013-09-16,9200,3900,0,26
1087,2011-10-31,3600,5000,0,18
1088,2012-06-17,3100,6800,0,19
1089,2022-03-02,3900,4700,800,17
1090,2018-11-21,5100,3700,3200,16
1091,2018-03-04,4100,3500,500,20
1092,2017-02-17,3000,3200,0,15
1093,2019-12-06,7100,7200,600,26
1094,2012-06-22,3500,4700,0,18
1095,2010-05-29,6400,5700,0,25
1096,2012-05-25,3400,4800,0,20
1097,2013-08-14,6200,5100,0,20
1098,2011-06-07,6100,6600,900,23
1099,2014-03-22,3400,6000,0,20
1100,2018-06-20,7400,6200,0,26
1101,2020-03-07,5100,5700,0,22
1102,2014-09-11,6500,6900,1200,22
1103,2016-05-04,5100,5700,0,25
1104,2020-03-18,3700,6100,0,18
1105,2020-04-17,7800,6000,1000,25
1106,2021-08-22,4900,4400,0,21
1107,2013-11-14,4500,8600,0,20
1108,2015-12-11,3600,1700,0,11
1109,2022-11-02,6200,6500,0,25
1110,2010-04-25,4200,4100,0,16
1111,2012-06-08,6100,5400,3000,20
1112,2015-01-03,6500,8900,600,30
1113,2011-12-13,5200,5800,500,23
1114,2015-01-04,5800,5000,1400,17
1115,2014-01-02,4600,3400,0,14
1116,2012-10-07,5100,5700,0,19
1117,2011-01-03,1900,5000,0,16
1118,2022-05-22,7100,2700,0,20
1119,2014-03-24,3600,7100,600,21
1120,2019-01-07,4900,5600,1000,20
1121,2012-02-12,4500,6200,1100,20
1122,2010-09-23,8100,1500,0,21
1123,2017-11-02,7100,5500,0,23
1124,2014-01-04,5700,5100,0,22
1125,2013-05-18,5200,7100,2500,19
1126,2014-07-05,5900,5500,900,19
1127,2010-03-28,7200,6000,0,23
1128,2015-02-05,4100,5800,0,21
1129,2019-10-03,6300,2900,0,17
1130,2014-07-07,3400,4700,700,16
1131,2018-12-08,2200,10500,0,25
1132,2022-05-15,3800,10800,1100,24
1133,2010-08-24,5300,3000,0,18
1134,2011-01-16,8100,2300,0,18
1135,2016-02-05,6500,3300,0,17
1136,2011-08-19,2200,5200,0,16
1137,2016-08-30,2400,6800,0,20
1138,2018-08-11,5100,5400,500,20
1139,2019-11-13,2400,4500,0,18
1140,2019-09-26,1300,4500,800,11
1141,2016-03-07,3500,9800,0,25
1142,2012-10-08,3200,4500,0,17
1143,2014-01-20,5500,5200,0,24
1144,2017-08-30,6800,3200,700,18
1145,2018-04-25,4300,7600,500,23
1146,2010-08-21,10800,8400,0,30
1147,2012-07-10,9100,4200,0,24
1148,2022-09-29,5900,5500,0,20
1149,2015-11-12,9600,8800,800,31
1150,2013-06-09,6300,8400,1800,26
1151,2017-03-25,8900,7500,0,28
1152,2016-05-05,4800,3100,0,16
1153,2012-06-04,7600,5700,300,27
1154,2018-10-18,7300,5000,0,24
1155,2017-01-25,6500,700,0,13
1156,2019-11-05,3300,5000,0,17
1157,2020-04-09,8400,8700,4400,26
1158,2016-09-08,9700,3300,0,22
1159,2018-03-03,7300,5700,2100,24
1160,2011-11-09,3500,7700,900,17
1161,2013-08-08,5700,6800,0,27
1162,2022-09-17,5500,5600,0,22
1163,2019-03-23,4400,6000,800,23
1164,2019-01-01,5500,7000,0,24
1165,2013-02-06,8600,4700,0,24
1166,2014-02-19,6200,3200,0,18
1167,2012-06-06,6700,6100,1100,25
1168,2016-11-14,4900,4900,300,17
1169,2012-12-23,6000,4100,0,20
1170,2019-02-02,5700,4100,2300,17
1171,2022-06-23,2800,7400,0,20
1172,2012-01-17,3100,9400,0,26
1173,2010-08-27,4000,7600,0,23
1174,2017-04-14,5100,4600,0,15
1175,2015-02-01,4100,3800,800,15
1176,2019-10-08,5700,5800,1500,19
1177,2016-09-19,5000,3500,1600,17
1178,2019-11-02,6600,7300,0,27
1179,2015-05-19,6900,3400,0,26
1180,2012-08-01,7400,4600,0,21
1181,2017-04-05,3700,8100,0,22
1182,2022-05-26,6700,4600,0,21
1183,2010-08-07,5200,6000,1600,18
1184,2019-11-03,8200,8600,2200,27
1185,2012-10-28,8200,3100,1300,24
1186,2013-10-12,5200,5700,1800,17
1187,2020-10-25,5100,6600,0,26
1188,2015-08-11,4100,6100,700,24
1189,2020-02-15,6600,6700,1100,21
1190,2020-04-04,7500,4400,0,27
1191,2019-09-02,3100,5200,1100,16
1192,2021-11-09,5000,5600,900,19
1193,2019-08-06,6800,3500,0,19
1194,2011-09-20,6100,5800,900,27
1195,2010-03-01,4600,4500,900,17
1196,2014-02-26,4200,5500,0,18
1197,2017-12-17,2000,5100,0,19
1198,2013-08-27,11200,4700,4200,19
1199,2016-08-26,3500,7900,0,20
1200,2018-10-19,7900,3300,1200,20
1201,2015-05-30,7000,5900,0,27
1202,2013-11-24,4300,5100,0,17
1203,2021-08-21,3400,4600,700,17
1204,2021-02-22,4100,5000,1200,19
1205,2019-05-04,3900,6800,0,19
1206,2013-03-17,5200,2900,0,16
1207,2017-12-09,3100,5100,2300,16
1208,2010-06-03,3800,7700,2400,23
1209,2011-09-10,5000,7700,0,22
1210,2013-12-24,3200,5500,0,17
1211,2013-03-25,6600,5400,1500,22
1212,2017-02-19,7500,8900,0,26
1213,2019-03-07,5700,5500,0,20
1214,2022-09-21,6900,4400,1200,23
1215,2018-12-04,7500,5200,0,26
1216,2014-08-09,5400,6000,0,19
1217,2019-01-19,6400,4800,600,25
1218,2020-05-10,5100,3100,900,18
1219,2021-12-05,8600,4900,3100,22
1220,2016-08-11,4100,2300,1000,14
1221,2022-08-31,3000,4800,500,16
1222,2017-12-12,6600,4200,1600,22
1223,2016-07-14,5100,4000,0,16
1224,2020-02-25,3600,5200,0,17
1225,2011-06-13,4700,8400,2400,23
1226,2011-08-23,4200,5000,0,19
1227,2014-06-26,4400,4200,0,21
1228,2010-05-16,5600,6200,1100,20
1229,2020-04-02,4400,4100,800,16
1230,2022-02-08,4900,7000,0,24
1231,2020-08-09,6200,4500,0,20
1232,2020-06-08,6700,2900,0,17
1233,2016-11-13,6100,5300,1000,22
1234,2015-01-02,4400,7900,0,24
1235,2017-09-05,1800,6200,900,15
1236,2019-06-30,4000,3700,0,18
1237,2018-02-03,4500,6600,700,22
1238,2020-07-06,8500,9200,1400,31
1239,2014-05-08,5100,7600,1400,21
1240,2015-06-15,5200,4800,700,19
1241,2021-01-13,4700,7000,0,19
1242,2010-04-28,1500,7000,0,14
1243,2021-11-11,6500,7600,2600,23
1244,2012-04-27,5600,6900,0,21
1245,2022-06-12,7200,5600,0,21
1246,2017-04-17,6400,8400,0,26
1247,2014-11-03,9200,6100,1500,29
1248,2021-04-14,4300,6400,0,21
1249,2016-07-25,4000,6500,0,21
1250,2017-05-17,6400,10000,1300,24
1251,2011-07-31,1500,4800,800,12
1252,2013-06-10,5500,5700,1500,17
1253,2019-04-11,3600,4800,0,16
1254,2022-05-11,7800,4900,900,23
1255,2019-12-03,4500,8400,3000,24
1256,2021-02-15,7500,3300,3100,19
1257,2013-12-23,5500,3200,1200,17
1258,2011-02-09,6000,7800,0,24
1259,2012-09-05,8000,3700,0,22
1260,2021-10-17,5000,6400,0,21
1261,2011-09-26,7300,6900,1200,22
1262,2022-12-05,4900,7100,1200,24
1263,2011-09-23,3200,5900,400,19
1264,2016-06-16,6100,5700,1100,19
1265,2010-01-24,7900,3300,0,20
1266,2017-11-19,7000,6900,0,22
1267,2011-06-23,4200,4900,0,19
1268,2012-03-19,5000,2400,0,21
1269,2010-01-11,8700,5900,1300,24
1270,2016-03-13,6700,5800,0,24
1271,2011-04-20,8000,3600,0,20
1272,2014-05-30,5300,5300,0,23
1273,2021-07-29,6700,4300,700,23
1274,2020-01-01,4000,7200,1000,21
1275,2020-11-15,4800,3600,1100,19
1276,2010-08-17,3300,4800,1800,14
1277,2017-11-18,6500,4200,900,21
1278,2011-09-27,2700,9500,0,23
1279,2019-08-27,5300,4700,1200,21
1280,2022-08-09,3500,7700,0,26
1281,2012-07-30,5500,6800,1700,20
1282,2017-04-21,5000,8900,0,24
1283,2013-06-29,4000,5200,0,17
1284,2017-01-08,5100,4700,0,21
1285,2021-03-27,6400,3200,0,21
1286,2022-05-09,3600,4700,0,12
1287,2010-05-27,6900,7600,2200,26
1288,2014-04-27,3900,7600,800,22
1289,2017-03-05,6300,5300,0,21
1290,2012-02-29,7500,3800,0,20
1291,2019-12-31,4800,5400,0,19
1292,2017-12-25,3000,5000,1500,18
1293,2016-04-25,9100,4200,0,25
1294,2013-11-16,7000,3900,0,20
1295,2011-11-17,5500,5800,3200,16
1296,2010-01-02,5400,7000,0,21
1297,2011-05-21,5900,2700,700,16
1298,2018-07-15,3100,7600,0,22
1299,2014-03-25,4900,4900,400,19
1300,2022-09-01,2900,5300,0,18
1301,2012-02-26,5800,4700,2700,17
1302,2011-07-02,6400,3700,500,20
1303,2018-02-04,3300,3300,0,15
1304,2022-02-03,5400,4100,0,18
1305,2015-03-18,3300,6700,0,15
1306,2016-06-14,4600,5700,0,22
1307,2015-10-14,6400,3900,0,19
1308,2018-01-08,5000,6600,3100,17
1309,2018-02-15,3800,6300,0,21
1310,2017-09-06,5000,4100,0,19
1311,2017-08-04,5000,7100,800,28
1312,2017-11-04,4700,3600,0,15
1313,2019-02-17,7000,6400,1700,25
1314,2014-01-31,3900,5400,0,17
1315,2017-12-31,7000,6500,3700,21
1316,2013-07-01,4700,5700,0,19
1317,2014-02-15,900,5100,0,9
1318,2012-01-26,3900,4200,0,17
1319,2021-04-29,2700,5300,0,15
1320,2022-12-27,5700,5500,0,24
1321,2016-05-07,8800,3100,0,21
1322,2021-07-11,6200,8400,400,26
1323,2020-01-31,4400,4400,0,16
1324,2012-04-05,5200,6400,0,27
1325,2014-02-02,4600,5600,0,18
1326,2016-09-27,5100,8600,0,24
1327,2020-04-15,9800,1700,0,19
1328,2017-07-11,9200,4100,2400,21
1329,2019-12-19,2700,4200,0,19
1330,2012-06-10,8000,6500,0,26
1331,2013-01-09,5200,5200,0,19
1332,2019-09-09,6700,6600,1000,23
1333,2020-07-12,2200,8100,0,22
1334,2013-10-20,3100,4800,0,17
1335,2016-05-01,4300,4300,0,15
1336,2018-08-24,4900,7200,0,23
1337,2019-03-19,4800,1100,0,11
1338,2019-05-17,6100,6300,0,21
1339,2016-08-22,6000,10700,1100,35
1340,2021-04-09,5000,5100,0,18
1341,2018-12-13,4100,6000,600,17
1342,2016-12-24,8100,3200,1100,21
1343,2011-09-12,4000,5400,2000,17
1344,2017-05-06,3400,9400,0,23
1345,2021-01-10,5800,7200,1500,24
1346,2011-06-11,6100,5000,700,21
1347,2021-06-08,3900,4400,0,22
1348,2012-10-29,4600,4100,0,18
1349,2017-02-28,3600,5700,0,21
1350,2010-06-09,6700,2500,0,17
1351,2019-11-26,5900,2000,0,17
1352,2014-01-01,6500,4800,600,23
1353,2010-02-17,7400,3900,500,21
1354,2012-01-07,4700,4300,0,16
1355,2022-02-23,4100,2900,0,16
1356,2012-04-11,6000,2100,0,20
1357,2018-10-08,6300,5400,0,23
1358,2013-09-10,2800,3600,0,14
1359,2014-06-22,1900,9900,0,21
1360,2018-06-28,5400,6000,0,22
1361,2014-01-09,6600,3100,1000,17
1362,2015-11-26,2900,4600,0,15
1363,2018-02-05,7200,7100,2400,26
1364,2020-08-19,5400,3900,0,22
1365,2012-04-23,7600,2500,0,17
1366,2010-12-11,5800,3300,0,17
1367,2021-04-18,3100,5900,0,15
1368,2021-12-15,5000,11100,0,26
1369,2015-08-29,6500,5700,0,25
1370,2019-04-03,7000,6200,0,25
1371,2018-07-30,5000,6200,900,23
1372,2020-08-31,5300,6000,2800,16
1373,2019-02-15,5300,6300,800,20
1374,2012-07-11,3000,5500,1000,14
1375,2021-03-04,4500,4300,0,17
1376,2017-04-11,2700,7600,0,20
1377,2013-04-24,3900,3000,0,13
1378,2012-01-15,2800,7100,900,22
1379,2021-04-06,5400,2200,0,14
1380,2017-10-03,4700,6800,0,22
1381,2022-01-04,6100,3600,0,18
1382,2018-10-24,5700,6200,0,21
1383,2012-08-14,7800,7500,3100,26
1384,2011-12-28,6900,5100,800,23
1385,2015-09-10,3900,3500,1000,17
1386,2016-05-27,2700,6800,1100,17
1387,2022-10-28,6200,6100,900,23
1388,2010-01-29,5700,4400,3300,17
1389,2014-11-12,2800,3900,0,15
1390,2018-08-03,7900,5300,0,26
1391,2016-12-25,6800,9100,0,30
1392,2020-10-10,6000,5800,0,22
1393,2018-04-13,5300,7500,0,26
1394,2021-09-16,5600,8400,2300,26
1395,2011-10-06,6400,7100,1000,26
1396,2012-02-05,4300,8400,600,26
1397,2021-05-10,6200,4100,1100,18
1398,2019-12-12,4100,7700,1500,20
1399,2011-08-13,5000,6600,0,25
1400,2022-06-30,6700,5700,0,23
1401,2019-03-08,2900,8300,1000,20
1402,2016-05-31,3200,7500,0,18
1403,2019-12-25,7000,5900,1000,23
1404,2017-08-17,5800,8500,0,29
1405,2017-02-13,3800,3100,0,16
1406,2013-12-06,4400,3900,0,13
1407,2016-10-31,4800,8100,0,28
1408,2014-05-23,3000,4800,0,18
1409,2021-02-11,4000,6400,0,23
1410,2018-03-05,5900,7400,0,24
1411,2018-07-10,7100,5000,0,21
1412,2015-04-03,4200,7200,0,22
1413,2022-07-26,4900,6300,700,21
1414,2018-05-31,2300,5800,600,19
1415,2019-11-06,2600,3900,0,12
1416,2017-05-13,9000,8200,1500,25
1417,2014-03-29,6800,2300,0,20
1418,2014-11-26,3500,5400,0,17
1419,2011-07-28,5100,8400,0,24
1420,2018-11-27,7300,6600,1800,26
1421,2021-12-16,4900,4300,900,20
1422,2010-08-12,4800,6400,3400,18
1423,2013-11-27,2300,3600,0,14
1424,2012-02-28,5200,8800,0,24
1425,2018-11-04,3200,3600,0,12
1426,2011-05-30,4400,3900,0,19
